Name,Organization,Project
Parthxtripathi,NumFOCUS,Benchmark Zarr Implementations
Parv,INCF,Upgrading the source code for the EEG-Notebook Experiment Library
Pasindu Rupasinghe,OpenMRS,Improving 3.x E2E Tests.
Patiga,XMPP Standards Foundation,More flexibility in dino file transfers
Patricija Cerkaite,Chromium,✨ Make Perfetto Perfect: Animation Smoothness Alerts
Paul Arah,OWASP Foundation,Forking and Updating Docker compose UI to be
Paul Pavlicek,Eclipse Foundation,Eclipse 4diac Model-based Testing
Paulina,Open Chemistry,Democratizing deep learning models for genomic data
Pavan_Bellam,"Department of Biomedical Informatics, Emory University",Workflow module for Niffler framework
Peirong,VideoLAN,dav1d statistics extractions
Pengcheng Ma,Apache Software Foundation,Apache EventMesh Support Knative as Eventing Infra
Peter David Fagan,MoveIt,Creating Python Bindings for MoveIt 2
Peter G. Chang,TensorFlow,Expanding the JAX SSM Library & Exploring Particle-Based Variational Inference (JAX ML Textbook)
Peter Marsh,IOOS,Efficient access to IOOS data in the cloud: interfacing WRF forecast grib2 data to zarray
PeterCrowe,INCF,GSoC 2022 INCF Proposal 7.1 - TVB/EEG-fNIRS
Petr Vana,The Julia Language,Automatic system images based on a specific user workflow
Phillip Bruce,The JPF team,Integrating the CVC5 SMT String Constraint Solver Into SPF
PhrygianGates,NumFOCUS,Enhance Taskflow's Pipeline Infrastructure
pikulk,SCoRe Lab,OpenXDR GSoC 2022
Piumal Rathnayake,OpenMRS,Microfrontend the OCL Module and Reduce Backend Dependencies
piyush_24,The NetBSD Foundation,Emulating missing linux syscalls
Pooja Patel,GNOME Foundation,GNOME Websites Framework - Part 2
poorna gunathilaka,Submitty,Static Program Analysis for Autograding
Pradyumna Krishna,CNCF,in-toto: DSSE Implementation
Pragyansh,ScummVM,ScummVM Macromedia Director
Prajwal Kailasnath Patil,R project for statistical computing,VedicDateTime (Part B)
Prajwal S N,CRIU,Porting CRIU Image Tool (CRIT) to Go
Prakalp23,JBoss Community,Using Bayesian Optimization to tune Kubernetes application
Prakanshul Saxena,INCF,Eye-tracker using deep learning with Python + TensorFlow/Pytorch
Prakarsh Kaushik,JdeRobot,Project #2: Robotics Academy: consolidation of drone based exercises
Prakhar Gurunani,52°North Spatial Information Research GmbH,Python client for OGC Maps API
Pranav Joshi,Open Bioinformatics Foundation (OBF),Efficient data layout for mass spectrometry data (OpenMS)
Pranay Mathur,Center for Research in Open Source Software (CROSS),Path finding algorithm using OpenCV and machine learning
Pranjal Walia,SCoRe Lab,NodeCloud - Ali Cloud Provider
Pranshu Grover,Eclipse Foundation,CloudEvents Mapper for Eclipse Ditto
Praroop,"Department of Biomedical Informatics, Emory University",MRIQC- Automated analysis of weekly MRI Quality Control Images for ACR Accreditation
Prashant,MariaDB,Create a utility to parse .frm files and print the table DDL.
Prashant830,The Mifos Initiative,Adding New Features Or General Improvements In Mifos-Mobile-CN Application & Fixing Its Bugs.
Prashanth S,RTEMS Project,BeagleBoard BSP Projects: CAN and ADC Peripheral Support
Prashiddha,freifunk,Minstrel-TX-Rate-Control_in_Userspace
Prateek_Singh,AnkiDroid,Prateek Singh AnkiDroid GSoC 2022 Proposal
Prateek33,International Catrobat Association,Awesome Game Demo Project
Pratham Shah,Forschungszentrum Jülich,RFI Mitigation
Prathamesh Desai,Learning Equality,Optimizing Existing Real-Time Communication with Websockets
Prathamesh Ghatole,MetaBrainz Foundation Inc,Clean Up The Music Listening Histories Dataset
Pratik Lagaskar,LEAP Encryption Access Project,"Implement>Client-side Tracking-, Malware and Ad-Blocker"
Pratyaksh Gautam,Xfce,Adding features to Thunar file manager
Prayas Jain,NumFOCUS,[Data Retriever] High-performance parallel computing for model fitting and prediction
Preet P. Vadaliya,MIT App Inventor,3D Components in App Inventor
Prerak,SCoRe Lab,Prerak Mathur - ScoreLabs/OpenMF
Princy chahal,Open Chemistry,Deepchem - Pytorch Lightning
Pritam Neog,Apache Software Foundation,OAuth 2.0 based SSO integration in CloudStack
Priya Srivastava,CHAOSS,Build Access and Entitlements into a Hosted Version of Augur
Priyam Mehta,CERN-HSF,Geant4-FastSim - Memory footprint optimization for ML fast shower simulation
Priyank Shankar,Organic Maps,Developing Support For Android Auto
Priyansh Jalan,NumFOCUS,CB-GeoMPM-NumFOCUS-XR Simulations-for-Natural-Hazards
Priyanshu Gupta,The Palisadoes Foundation,Talawa: Event and Venue Management
Priyanshu Raj Shrivastava,SCoRe Lab,KubeBot
Progyan,Zulip,Improving the UI/UX in Zulip-Terminal
protodrew,GRAME,Integrating Faust Into the Bespoke DAW
Pulkit Gupta,CircuitVerse.org,CircuitVerse Simulator Improvements
Purna Chandra Mansingh,NumFOCUS,Increase Support for Batched Multivariate Distributions
Purushottam Tiwari,Zulip,Improve user-group and stream management settings
Purva Chaudhari,Machine Learning for Science (ML4SCI),End-to-End Deep Learning Reconstruction for CMS Experiment
pushkar.patel,RADAR-base,Enhancing the RADAR-Feature Pipeline
Qifan Yu,Apache Software Foundation,ShenYu: logging-kafka plugin
QinHaiqi,Apache Software Foundation,Proposal for Apache Shenyu about logging-elasticsearch plugin
Qiuchen Yan,The JPF team,Support More Java String Functions in SPF
Quote58,ScummVM,Complete The Immortal game engine
r0hit2005,Matrix.org,Nheko VoIP Library
Radis Toumpalidis,moja global,MLOps for reproducible Science
Raghav Sharma,Red Hen Lab,Entrenchment of Linguistic Frames in Divergent Conceptualization
Razetime,Ruby,Implementing Ruby 3.0 Pattern Matching in TruffleRuby
Rahul Gill,The Mifos Initiative,Build UI Library of common components across all mobile apps
Rahul Khinchi,checkstyle,Automate release process of checkstyle
Rahul_Garg,MuseScore,Global Shortcuts
rahulsonkar,INCF,NEUROsim - Cortical Simulator
Rain Park,OpenVINO Toolkit,3D Jupyter Notebooks and WebGL Integration for OpenVINO
Raina Middha,Red Hen Lab,TV Show Segmentation (Final Stage)
Raj Aryan,MetaCall,Deploy CLI (Metacall)
Rajat Gupta,Jenkins X,Jenkins X GSOC Proposal
Rajdutt,VideoLAN,FFmpeg Audio Filters
Rajiv Ranjan Singh,Keptn,New Documentation Site Engine
Rameen Anwar,Free and Open Source Silicon Foundation,Fault Silicon Validation and Open MPW integration
Ramveer,The Mifos Initiative,Mifos X Web App Enhancements
Ramya Kappagantu,CHAOSS,Machine Learning based Community Health and Communication
Ramyak mehra,QEMU,Extend aarch64 support in rust-vmm/vmm-reference
Ravindu-Hirimuthugoda,SCoRe Lab,Design 5 new Themes for Webiu
Razvan Vacaru,Scala Center,Porting of Scalafix ExplicitResultTypes rule to Scala 3
reinold,KDE Community,Export an Image to SVG in Krita
Renata Cruz,INCF,INCF GSoC 2022 1.1. Implementation of White Matter Substrates in Disimpy
Resulte,Casbin,Refine and optimize the Casbin-dashboard & Casdoor
Retr0ve,Joplin,Improve plugin search and discoverability
reyan_ahmed,GeomScale,Counting linear extensions with volume computation
rhythmrx9,Python Software Foundation,cve-bin-tool: Add new datasources for vulnerabilities
richyliu,QEMU,Snapshot/restore for fuzzing with QEMU
Rijuta Singh,Oppia Foundation,Blog Integration
Riken Shah,Zulip,Working on Previous Year Work & Improving Zulip as a Product
Ringwald Célian,DBpedia,DEVELOPING A NEW DBPEDIA ABSTRACT EXTRACTOR
Rishab Mudliar,Red Hen Lab,Multimodal Image Captioning and a dataset for Christian Art
Rishabh Maheshwari,The Linux Foundation,Scanning Support in PAPPL with eSCL Support
Rishabh Modi,Casbin,Gsoc Proposal For Dart-Casbin
Rishikesh Donadkar,libcamera,Improve GStreamer element to add support for properties.
Rishikesh Vanarse,Open Robotics,Improving Maritime Support for Ignition: Implementing domain-specific sensors
Rishiraj Acharya,TensorFlow,Kaggle examples for TensorFlow Decision Forests
Rishiraj Adhikary,TensorFlow,Profiling and Optimising Energy Consumption for TF Lite Models.
Rohan Chandrashekar,SPDX,"A Scalable, Secure and Service-Oriented Private License Management System"
Rohan Gupta,Global Alliance for Genomics and Health,Dynamic computation of variant annotations using GA4GH Variant Annotations plus FHIR Genomics
rohan-kumar,Sugar Labs,Sugarizer Assignments
Rohit Menon,Ruby,Optimizing Garbage Collection for Ruby Ractors
Rohit Shrivastava,Genome Assembly and Annotation,Accessing Ensembl data with Presto and AWS Athena
Rohit_Pandey,FOSSology,Adopting REUSE standards in FOSSology
Rohith Varma Buddaraju,TARDIS RT Collaboration,Tardis Setups Framework
Rose Kamal,LibreHealth,GSoC Proposal - LH-Toolkit & Radiology UI Re-Write
rram12,TensorFlow,New Batch of demos for TensorFlow Lite Micro
rubensgn,The Linux Foundation,Lore interface for kw
Ruixiang Tan,MariaDB,Proposal for MDEV-26182 Create a function to check for JSON intersection
Runqiu (Thomas) Guo,Organic Maps,"More choices, More happiness: Alternative Routes for Organic Maps"
Rupak,OWASP Foundation,update && upgrade OWASP PyGoat
Rupesh Gelal,Center for Research in Open Source Software (CROSS),[PolyPhy] Developing website and writing content for PolyPhy
rxbryan,MetaCall,MetaCall Cli Refactor
ryaben,The Honeynet Project,RIoTPot: A Shapeshifting honeypot
Ryan Peyton Gambrell,INCF,5. 2) Implementing CSV data browser and querying component for AnalySim
RyanCali,INCF,17.1: Adding BIDS Prov to new dataflow engine written in Python: Pydra
S I Harini,NumFOCUS,Add Gen converter to ArviZ.jl (Julia)
Saarthak Seth,International Catrobat Association,Pocket Paint for Android: Landing Page
Saatwik,International Catrobat Association,Zoom to draw
Sabyasachi Ghosal,Red Hen Lab,Tagging Sound Effects
Sachin Thakan,The Linux Foundation,Add Avahi calls for discovering and resolving driverless IPP printers and Optimize the processes
SadashayKanungo,SCoRe Lab,NFT-Toolbox
Sagar Chotalia,OpenAstronomy,Performance Tweaks in RADIS
Sagar Khurana,Robolectric,Improve Robolectric’s code quality
Sagar Utekar,PEcAn Project,PEcAn Helm chart enhancements
Sahil Harpal,PostgreSQL,Improve pgarchives
Sahil jhangar,Oppia Foundation,Make backend code typed
Sahil Kumar Dhiman,The Linux Foundation,Make a native Printer Application from Gutenprint
saicharan00112,CHIPS Alliance,Development of a smart CI workflow to test analog block functionality and performance in OpenFASOC
Sainath Rao Pathange,Neutralinojs,Proposal for writing test suite for Neutralinojs CLI
Sairaj Kodilkar,Unikraft,Adding SMP synchronization
Saksham Dwivedi,CCExtractor Development,Resurrecting The Poor Man
Saksham Rastogi,NumFOCUS,FastAI.jl Time Series Development
Saksham Sharma,SCoRe Lab,CodeLabz: Frontend improvements
Sam Bassaly,PostgreSQL,pgBackRest port to Windows
Samad Khan,rocket.chat,GitHub App
Samarth Raj,KDE Community,Adding new activities to GCompris
samarth sharma,International Catrobat Association,Awesome Demo Game Project (175 hours): DEADLAND
Samir Ghosh,Processing Foundation,"p5.xr Enter VR button, controller functionality, interface primitives, and basic locomotion"
Samuel Ang,RoboComp,Generation of simulation environments using OSRF’s traffic editor
Samuel Dushimimana,FOSSology,REST API and UI improvements
Sanchi Mittal,CERN-HSF,ROOT - Machine Learning Developments - Batch Generator for training machine learning models
Sandeepan Dhoundiyal,OSGeo (Open Source Geospatial Foundation),Integrating ZOO-services with QGIS
Sandil Ranasinghe,Wagtail,Toolkit for StreamField data migrations in Wagtail
sangyul.cha,rocket.chat,Botpress Connector Enhancements
Sanket Sharma,ArduPilot,Update ROS integration for Non-GPS navigation and off-board path-planning
Sanskar Bajpai,XMPP Standards Foundation,Adding support for Audio/Video Communication via Jingle
Sanskar Bhushan,OSGeo (Open Source Geospatial Foundation),Implementing Various Functionalities to Calculate Important Graph Metrics in pgRouting
Sanskriti Mathuria,Center for Translational Data Science,Scalable Data Download Functionality into the Gen3 Python SDK & CLI
Santhosh G S,openSUSE Project,Converting Systems list pages from JSP to ReactJS
Sara J,National Resource for Network Biology (NRNB),NetBoxR Updates
Saradindu,R project for statistical computing,VedicDateTime (Part A)
Saranga Kingkor Mahanta,Machine Learning for Science (ML4SCI),Updating the DeepLense Pipeline
Sarfraz Alam,SCoRe Lab,CodeLabz Project Proposal
Sarrah Bastawala,GNU Octave,"ode15{i,s} : Matlab Compatible DAE solvers"
Sarthak Kundra,Python Software Foundation,EOS Design System - User Story Documentation and Landing Page
Sarthik Gupta,The Tor Project,Tor Weather: Improving the Tor network
Sarvagya Malaviya,TensorFlow,Implementation of State-of-the-Art Components in Object Detection for KerasCV
Satvik Singh,INCF,Contribute to LORIS: Development of modules and API
Satvik Vemuganti,Software Heritage,Mine Information from Archived Content
Satwik Kambham,TARDIS RT Collaboration,Resuming TARDIS Simulations from HDF
Saumya Kushwaha,Sugar Labs,Sugarizer Vue.js UI
Saurav Yogen Joshi,DBpedia,Template Discovery for Neural Question Answering over DBpedia
SauravD,cBioPortal for Cancer Genomics,Interactive web tour
Sayafdine Said,The FreeBSD Project,Rewrite PJDFSTest suite
Sayam Samal,Zulip,Enhance the UI/UX of the core Zulip Web Application
Sayan Nath,TensorFlow,Publish fine-tuned CoAtNet and MobileViT in TensorFlow Hub
Selbi Ereshova,National Resource for Network Biology (NRNB),SBML-MINERVA support in Newt
Selim,INCF,Project 6.2: Efficient app-based measurement of visual functions in infants and young children
SeonwooKim,GNSS-SDR,Anomaly detection and recovery with a Deep-learning-based approach
Sergio A. Vargas,The Julia Language,An Alternative to Distributed for Pluto.jl
Shahaab Manzar,SCoRe Lab,Codelabz Project Proposal
Shai_pranesh,Open Chemistry,"Implementing Ferminet, an Ab initio solution to many-electron systems using DNNs"
Shakil,LLVM Compiler Infrastructure,Make Enzyme plugin callable from The  New Pass Manager in LLVM
shane gomes,OWASP Foundation,Creating API System Under Test
Shaoxuan Yuan,Git,More Sparse Index Integrations
Shashwat,Wikimedia Foundation,Modernize JavaScript build process and dependencies for Wiki Education Dashboard
Shashwat Singh,CCExtractor Development,Porting Hardsubx to Rust
Shatabarto,MetaBrainz Foundation Inc,Send a track to another user as a personal recommendation
Shayan Shafquat,INCF,"9.1 Open source, cross simulator, large scale cortical models in NeuroML and PyNN"
Shazma Siddiqui,Joomla!,Schema.org
Shibo Chen,Apache Software Foundation,Gracefully shuts down for dubbo-go-pixiu
Shichu Yang,FRRouting,Zebra Traffic Control
Shikhar,syslog-ng,Rotate log files based on size (#2964)
Shintaro Sasaki,Scala Center,Semantic highlighting for Scala in VS Code
Shiv Tyagi,ArduPilot,Rover AutoDocking
Shivaditya Shivganesh,LibreHealth,"Machine Learning models for classification, object detection and segmentation in Virtual Reality"
Shivaji Kumar,Jitsi,Video background effects for Jitsi Meet mobile
Shivam Deotarse,Zulip,Enhancing user experience of Zulip Terminal
Shivam Jha,Oppia Foundation,Migrate Away From Protractor
SHIVAM SHANDILYA,Python Software Foundation,PyAr: PyZombis: Enhancements for SQLite (SQL.js) and PyGame lectures & Interactive web exercises
Shivani Chauhan,Apache Software Foundation,Apache APISIX redesign
Shivank Chaudhary,NumFOCUS,Registry for Zarr codecs
Shivansh Subramanian,sktime,Deep Learning for Time Series
Shivansh Yadav,Casbin,"Casbin For Node.js - Benchmarks, Feature Enhancement, Node-Casbin multiple platform support"
Shivanshu Tyagi,OpenCV,AudioVisual Speech Recognition using OpenCV Audio IO module
Shivoham Angal,Cuneiform Digital Library Initiative (CDLI),New Features and Usability Enhancement
Shiyao,Performance Co-Pilot,Timeseries Query Language Extension Proposal
Shlok Patel,Zulip,Implementing cluster of high priority features to improve Zulip web app and server.
shmptl,NumFOCUS,In-Situ  Visualization with the TACC Galaxy and the Material Point Method
Shobhit Chaurasia,OSGeo (Open Source Geospatial Foundation),Implement Cuthill-Mckee Ordering Boost Graph Library Algorithm for pgRouting
shouxunsun,CNCF,RPC cross different namespaces through unix socket
Shreshtha Modi,R project for statistical computing,US Census 2020
Shrey Pandit,Red Hen Lab,Classification of body keypoint trajectories of gesture co-occurring with time expressions
Shreya Kumari Gupta,GNU Octave,Openlibm
Shreyan,Red Hen Lab,Machine Detection of Film Edits
Shreyas,Ste||ar group,Coroutine-like interface
Shreyas Pradhan,NumFOCUS,qutip-qip as a Qiskit Backend
Shrihari,Free and Open Source Silicon Foundation,1st CLaaS for PYNQ FPGAs
Shubh,MetaBrainz Foundation Inc,Unified Creation Form
Shubham Agrawal,mlpack,Ready to use Models
Shubham Kumar Sharma,Processing Foundation,Improving p5.js WebGL Functionality
Shubham Verma,Joomla!,Accessibility Plugin
Shubham95,Apache Software Foundation,Dashboards to get quick statistics
ShubhamPalriwala,OWASP Foundation,Juice Shop: Replacement for Protractor end-to-end & Frisby API test suite to Cypress
Shubhrajyoti Dey,Global Alliance for Genomics and Health,GSoC Proposal Global Alliance for Genomics and Health [ Shubhrajyoti Dey ]
SHussainAther,INCF,Ethical Regulators: Could they prove valuable for AI ethics?
SIBASISH BEHERA,JBoss Community,Flotta  - Reduce energy consumption
Siddhant,R project for statistical computing,StochOptim - an R wrapper for stochastic and global optimization tools
Siddhant Bansal,DBpedia,Enhancing DBpedia with image-based querying
Siddhant Chaudhary,The Julia Language,Making improvements in JuliaStats/CRRao.jl
Siddharth Asthana,GitLab,Add Support for Mailmap
Siddharth Mehrotra,Responsible AI and Human Centred Technology,Benchmark detectives: Data & Model Cards
Siddhesh Kanawade,Casbin,Casbin for Rust
Sidharth Mohanty,rocket.chat,Rocket.Chat ReactJS fullstack Component
SimoneBalducci,CERN-HSF,Implementation of a Python library that generalizes the CLUE clustering algorithm
Simran,Drupal Association,Social Auth (SSO) Ecosystem Modernization
Sindhu Kandepu,Global Alliance for Genomics and Health,Multi-model approach for discovery of associations between gene variants and diseases.
Sitaram Rathi,rocket.chat,Rocket Chat TUI Proposal
SiyaoLi,MIT App Inventor,Functional Operators in the Blocks Editor
skelly37,MetaBrainz Foundation Inc,"Make Picard work in single instance mode, then improve existing error handling and crash info."
sloorush,Haskell.org,[Haskell.org]  Support more LSP features in Haskell Language Server
Smit Patil,KDE Community,Redesign system settings modules by porting them to QtQuick
sociometry,Casbin,Casbin for .NET & Casdoor .NET SDK
Sofía Rodríguez,Swift,Quick navigation in DocC Render
Sohaib Mohamed,Performance Co-Pilot,Generalized columns in Htop
Soham Banerjee,FOSSology,FossologyUI Overhaul and  REST API Improvements
Sohom Datta,Chromium,Performance APIs spec compliance
Soichiro Ueda,Chromium,VirtIO Balloon Performance Improvements
SoloKyo,PostgreSQL,pgmoneta: On-disk encryption
Somnath Sharma,INCF,Eye-Tracker using Deep Learning with Python + TensorFlow/Pytorch
Songlin Jiang,MIT App Inventor,Make Blockly Capable of Dragging a set of blocks
Soumil Baldota,CERN-HSF,Interfacing PODIO to Julia
Soumitra Shewale,The Julia Language,Improvements to the REPL workflow (TermLayouts.jl)
Soumya Ranjan Patnaik,CCExtractor Development,Integration of swaywm with regolith
Soumyajyoti Dey,Oppia Foundation,Improving the lesson creation experience [part(a) + part(b)]
Sourabha G,Sugar Labs,Improve and maintain 12 Sugar activities.
sparshg,Sugar Labs,Improve and maintain 12 Sugar activities
Sreelakshmi Jayarajan,Python Software Foundation,Mission Support System (MSS): Advanced CLI Plotting
Sreeniketh Madgula,AOSSIE,Refine Architecture to improve extensibility
Sreya G,Open Chemistry,Porting xyz2mol to the RdKit core
Sreyan Ghosh,TensorFlow,Develop NLP examples using HuggingFace Transformers
Sri Siddarth Chakaravarthy,OpenCV,Lightweight Object detection and tracking for resource restricted usage
Sridhar Dhamija,Center for Research in Open Source Software (CROSS),DirtViz: Visualize Sensor Data
star,OpenCV,Implementing multi-task CV models in OpenCV
Stefanos Vlachos,JBoss Community,EΑΤ - Addition of Jboss Community Server Release Snapshot and multi-version Android Projects
stein,TensorFlow,Tutorials for Object Detection Models
Subhangi Choudhary,AOSSIE,Improving the AOSSIE Scholar Extension
Suchith Krishna S Donni,The Mifos Initiative,Machine Learning Scorecard for Credit Risk Assessment Phase 5
Sudersan S,CERN-HSF,ESCAPE - OSSR: Repository as a Service
Suhaas Joshi,KDE Community,Permission Management for Flatpak and Snap Application in Discover
Suhaas Neel,Python Software Foundation,Activeloop: Implementing Auto Dataset Tuning
SuHsueyu,strace,Support for BTF and other BPF decoding improvements
Sujit Jaunjal,52°North Spatial Information Research GmbH,UI for the Arctic Sea settings API (Faroe)
Sukhamjot Singh,freifunk,Complete the Retroshare Web Interface
Sumana Basu,Open Food Facts,Pushing the Hunger Games annotation engine to the next level
Sumanth Sulur Rajkumar,Apache Software Foundation,Commons Numbers Library for Complex Linear Algebra
Sumit Kashyap,Open Food Facts,Community federation portal and gamification
Sunho Kim,LLVM Compiler Infrastructure,Write JITLink support for a new format/architecture (ELF/AARCH64)
Sunny Tarawade,Genome Assembly and Annotation,New FAANG backend with Elasticsearch and GraphQL
Supriya_Kumari,OpenAstronomy,Non-Air Diluent
Suraj Kumar,Sugar Labs,Music Blocks v4 Code Editor
SUSHANT A.A.,Inkscape,Tab Structure
Sushant Kumar,FOSSology,Improve  Minerva  OSS  Dataset  and implement models for Atarashi
Sushant Sreeram Swamy,RoboComp,Extending the Social Navigation component to realistic scenarios
Sushanth,Ruby,RDoc generation from RBS
Suyash,Global Alliance for Genomics and Health,TES Callback endpoint and mechanism in TESK
Suyash Nayan,Chromium,Automate Drag-and-Drop Tests by Suyash Nayan
Swarnalee Mazumder,PEcAn Project,Enhancing Meteorological Data Input Processing and Creating Agricultural Data Ingestion Pipelines
Swati Dantu,RoboComp,Self-Adaptive controller for path following
Swetha M P,International Catrobat Association,Awesome Demo Game Project (350 hour)
Syed,Liquid Galaxy project,Dronecoria RAS Version 2
syheliel,AFLplusplus,bridge Nyx to LibAFL
Takeshii,SCoRe Lab,CrawlerX - Web
Tales,X.Org Foundation,Introduce Unit Tests to the AMDGPU “DCE” Component
Talha Ahmed,Center for Research in Open Source Software (CROSS),Register File Generator
taliaxu,BeagleBoard.org,Implementing PRU and improving support of standalond cores on BeagleWire
Tanishq Jain,PEcAn Project,PEcAn packages on CRAN
Tanusree Debnath,The Linux Foundation,Perf data converter
Tarek Elsayed,mlpack,Example Zoo
Tareq Al-Ahdal,OpenStreetMap,Nominatim - Importance by OSM map views
Tarun Arora,CCExtractor Development,The Sample Platform Revisited
Tarush Singh,MZmine,Ion mobility data format support
Taylor Lee,Responsible AI and Human Centred Technology,(Taylor Lee) GSoC RAI-HCT Data Cards Playbook Labs Proposal
techiepriyansh,Godot Engine,GPU Lightmapper Enhancements
Techno-Disaster,Matrix.org,Fluffychat WebRTC
Tejasvi Chebrolu,Mayor's Office of New Urban Mechanics,Improved Translation for the City’s 311 App with Machine Learning
Tewodros Mesfin,Forschungszentrum Jülich,Interactive benchmarking analysis via Ginko Performance Explorer
Thanda Mahender Goud,SCoRe Lab,"CodeLabz - FrontEnd, News Feed, Profiles, Organization, Profiles"
Thanos Masouris,OpenVINO Toolkit,Synthetic data generation for model optimization using GANs
Thanoshan M.V.,Apache Software Foundation,Solve Unsupported PostgreSQL Statements That Start With 'c' for Shardingsphere Parser
Thanvi Lahari Pendyala,FOSSology,Enhancement with ClearlyDefined.io (spasht)
The__LoudSpeaker,Debian,Android SDK tools
thealgosniper,The Linux Foundation,Create new printer setup tool for the GNOME Control Center
thefallenangel,Eclipse Foundation,JSON-RPC as wire protocol for the event bus TCP bridge
Thejas Kiran P S,GNOME Foundation,Pitivi Timeline Enhancements
theomacx86,TianoCore,Add QEMU support to MinPlatform (OpenQEMUBoardPkg)
Tianyi(Tony),CNCF,A Grafana Dashboard Plugin to Observe Controller Metrics
tianyuq2,LLVM Compiler Infrastructure,Vector Reverse-Mode Automatic Differentiation
Tieway59,CHAOSS,Implement Conversion Rate Metric in CHAOSS Software
Tim Lange,GNU Compiler Collection (GCC),New checkers for GCC’s static analyzer
Ting WANG,Eclipse Foundation,ECLIPSE JKubeTM: Improve JKube user experience
tinytrebuchet,The Linux Foundation,Adding CPDB support to existing Print Dialogs
TirthankarMazumder,CERN-HSF,Vectorized Linear Algebra Implementation for ACTS
TJStienstra,SymPy,Classical Mechanics: Extending the Construction of Systems From Bodies and Joints
Togan Tlimakhov Yusuf,Machine Learning for Science (ML4SCI),Quantum Generative Adversarial Networks for High Energy Physics Analysis at the LHC
Tolulope Malomo,Joplin,Tablet Layout Project
ToMago,Machine Learning for Science (ML4SCI),Quantum Variational Autoencoders for HEP Analysis at the LHC
Tong Zhang,OpenCV,Light-OCR
Toshan Luktuke,JdeRobot,Improvement of Visual Circuit Web Service
Tran Huu Nhat Huy,OpenAstronomy,[RADIS] Spectrum Fitting Improvement
TRAN Quoc Hung,KDE Community,New plugin to process Optical Character Recognition (OCR)
Trevor Karn,SageMath,"Rewrite exterior algebra, implement Groebner bases, and peelable tableaux for northwest diagrams"
Tricster,MetaCall,Add Rust loader support for Metacall
trollodel,Godot Engine,Multi window code and shader editors
Tyler Hoffman,NumFOCUS,Interfaces for consistent statistical analysis in the Python Spatial Analysis Library (PySAL)
Udit Arora,DBpedia,Understanding and Optimizing DBpedia Question Answering through Explanations
Ujwal Kundur,CERN-HSF,Electromagnetic Cluster Finding on GPUs
Umesh Singh,Robolectric,Switching to Conscrypt as the default security provider
Upalanka K,SCoRe Lab,OpenXDR - Real-time Open Source Extended Detection and Response System
Usman Siddique,Micro Electronics Research Lab - UITU,Development of a Python compiler for a resource-efficient SRAM-based TCAM
Utkarsh Gandhi,GNOME Foundation,"Revamp ""New Document"" submenu in GNOME Files."
Utkarsh Shukla,PostgreSQL,New and improved website for pgjdbc (JDBC)
utkarsh_uc,National Resource for Network Biology (NRNB),AnnotateMe - Interactive Tool For  Annotation of SBML Models
UtkarshTiwari,Cuneiform Digital Library Initiative (CDLI),Design Challenge I
V. Sai Suraj,Forschungszentrum Jülich,Memory-Distributed Singular value decomposition.
Vahab Jabrayilov,CNCF,Thanos : Compaction/Downsampling: build chunks from object storage without touching disks
Vaibhav Chopra,NumFOCUS,Benchmarks for PyBaMM
Vaibhav Malik,Inkscape,Font Selection Improvements
Vairamuthu M,Drupal Association,Decoupled menu's for Drupal
Vaishnav Nair,OpenWISP,Improve netjsongraph.js for its new release
Vaishnavi Gupta,SCoRe Lab,LabelLab - Improve Collaborative Experience and Version Tracking System
Vallari Agrawal,Ceph,Visualizing a Ceph Cluster
Vamsi Anumula,RoboComp,Reinforcement Learning for pick and place operations
Vansh,TensorFlow,Develop Kaggle examples for TensorFlow Decision Forests
Vanshita Verma,Society for Arts and Technology (SAT),Add support of Unix permission in the Shmdata library
Varendra007,OWASP Foundation,SKF
VarLad,NumFOCUS,QuantumNLDiffEq.jl and Makie recipes for SciML
Varshita Kolipaka,INCF,Automatic reviewer matching using Natural Language Processing: Infrastructure for NBDT Journal
vbabatchev,LibreCube Initiative,LibreSim Generic Radio Models
Vedant Jain,CircuitVerse.org,CircuitVerse Platform Improvements
Vedant_Pol,XWiki,Snap Package for XWiki
VicWick,cBioPortal for Cancer Genomics,Improve Genome Nexus' Command Line Interface Experience
Vihaan Thora,Jenkins,Pipeline Step Documentation Generator Improvements
Vihas Makwana,The NetBSD Foundation,Introduce a new Wi-Fi driver
Vijay,freifunk,Videoodyssee : System Refactoring
Vijaya Agarwal,Plone Foundation,Bulk Editing Idea proposal
vikram-s-narayan,NumFOCUS,Improve Surrogates.jl
Vikramraj Sitpal,OpenAFS,Per volume reverse name lookup index
Vini Salazar,IOOS,Refactoring of erddapy into separate core and object layers
Vinícius Cavalcanti,Liquid Galaxy project,BIM Liquid Galaxy Visualizer
Vishwa,TensorFlow,Develop demos for TensorFlow Lite Micro
Vitika Soni,Godot Engine,Refactor and UX Updates of ColorPicker
Vivek Kumar Sah,The NetBSD Foundation,Automating donor acknowledgement and information storage
Vivek Srivastava,rocket.chat,Playground for UIKit ReactJS components
voidash,CCExtractor Development,Rewrite CEA-608 Decoder in Rust
Vraj Desai,Oppia Foundation,Accessibility Improvments
Vyom Yadav,checkstyle,Practice What You Preach
Watarungurunnn,INCF,22.1 GNNs as Developmental Networks
WDU,NumFOCUS,Solving Heterogeneous Agent Macroeconomic Models
